Method,Endpoint,Summary,Description,Authentication,Request Body,Parameters
GET,/api/v1/gatemanagement/visitor/{requestId},,,False,,1
GET,/api/v1/gatemanagement/visitor-list,,,False,,0
GET,/api/v1/gatemanagement/visitor-files/{requestId},,,False,,1
GET,/api/v1/gatemanagement/vehicle,,,False,,0
GET,/api/v1/gatemanagement/all-steps/{requestId},,,False,,1
GET,/api/v1/gatemanagement/all-actions/{requestId},,,False,,1
GET,/api/v1/gatemanagement/action-history/{requestId},,,False,,1
POST,/api/v1/gatemanagement/action,,,False,Yes,0
POST,/api/v1/gatemanagement/warehouse-manager,,,False,Yes,0
GET,/api/v1/iot/grafana/dashboards,,,False,,0
POST,/api/v1/iot/grafana/dashboards/{dashboardUid}/panels,,,False,,1
GET,/api/v1/iot/influx/machines,,,False,,0
GET,/api/v1/iot/influx/machines/{machineId}/latest,,,False,,1
GET,/api/v1/iot/influx/machines/{machineId}/history,,,False,,3
GET,/api/v1/influx,,,False,,0
GET,/api/v1/integrations,,,False,,0
POST,/api/v1/integrations/machine-data,,,False,Yes,0
POST,/api/v1/iot/webhook/data,,,False,Yes,0
GET,/api/v1/iot/webhook/ping,,,False,,0
GET,/api/v1/maintenance,,,False,,0
POST,/api/v1/maintenance/add-workrequest,,,False,Yes,0
DELETE,/api/v1/maintenance/delete-workrequest/{workRequestId},,,False,,1
POST,/api/v1/maintenance/trigger-workrequest,,,False,Yes,0
GET,/api/v1/maintenance/workrequests,,,False,,3
GET,/api/v1/maintenance/workrequest-byid/{requestId},,,False,,1
GET,/api/v1/maintenance/get-WorkOrders,,,False,,0
GET,/api/v1/maintenance/workorder-byid/{requestId},,,False,,1
POST,/api/v1/maintenance/create-workorder,,,False,Yes,0
GET,/api/v1/maintenance/all-steps-template/{workflowType},,,False,,1
GET,/api/v1/maintenance/all-steps/{requestId},,,False,,1
GET,/api/v1/maintenance/all-actions/{requestId},,,False,,1
GET,/api/v1/maintenance/action-history/{requestId},,,False,,1
POST,/api/v1/maintenance/action,,,False,Yes,0
POST,/api/v1/maintenance/action-workflow,,,False,Yes,0
POST,/api/v1/maintenance/storemanager-action,,,False,Yes,0
POST,/api/v1/maintenance/request-parts,,,False,Yes,0
POST,/api/v1/maintenance/add-labourtask,,,False,Yes,0
POST,/api/v1/maintenance/assign-labour,,,False,Yes,0
GET,/api/v1/maintenance/labourtasks/{workorderid},,,False,,1
GET,/api/v1/maintenance/labourtasks,,,False,,0
GET,/api/v1/maintenance/parts/{workorderid},,,False,,1
GET,/api/v1/maintenance/parts-by-request-id/{partrequestId},,,False,,1
POST,/api/v1/maintenance/update-quantity,,,False,Yes,0
POST,/api/v1/maintenance/dashboard/{groupby},,,False,Yes,1
GET,/api/v1/maintenance/scheduled/{month}/{year},,,False,,2
GET,/api/v1/maintenance/inspection-by-request-number/{inspectionRequestNumber},,,False,,1
GET,/api/v1/maintenance/get-inspection,,,False,,0
POST,/api/v1/maintenance/add-inspectionForm,,,False,Yes,0
POST,/api/v1/maintenance/update-verifier,,,False,Yes,0
GET,/api/v1/maintenance/pending-inspection,,,False,,0
GET,/api/v1/maintenance/maintenance-maintenanceReport,,,False,,0
GET,/api/v1/maintenance/breakdownAnalysisReport,,,False,,0
GET,/api/v1/maintenance/top-causes,,,False,,0
GET,/api/v1/maintenance/monthly-weeks/{month}/{year},,,False,,2
GET,/api/v1/maintenance/workOrderSummary,,,False,,0
GET,/api/v1/maintenance/workOrderCount,,,False,,0
GET,/api/v1/maintenance/sparePartsReport,,,False,,0
POST,/api/v1/maintenance/event,,,False,Yes,0
POST,/api/v1/maintenance/add-breakdown,,,False,Yes,0
GET,/api/v1/maintenance/get-all-breakdown,,,False,,0
POST,/api/v1/maintenance/request-tools,,,False,Yes,0
POST,/api/v1/maintenance/assign-tool,,,False,Yes,0
POST,/api/v1/maintenance/receive-tool,,,False,Yes,0
GET,/api/v1/maintenance/tools/{workorderid},,,False,,1
GET,/api/v1/maintenance/getToolsOrder,,,False,,0
GET,/api/v1/maintenance/dashboard-live/{selectedDateTime},,,False,,1
GET,/api/v1/maintenance/dashboard-live-charts/{selectedDateTime},,,False,,1
GET,/api/v1/masters/exciseClassification,,,False,,0
POST,/api/v1/masters/add-exciseClassification,,,False,Yes,0
DELETE,/api/v1/masters/remove-exciseClassification/{exciseClassificationId},,,False,,1
GET,/api/v1/masters/plasticMaterialType,,,False,,0
POST,/api/v1/masters/add-plasticMaterialType,,,False,Yes,0
DELETE,/api/v1/masters/remove-plasticMaterialType/{plasticTypeId},,,False,,1
GET,/api/v1/masters/plasticCategory,,,False,,0
POST,/api/v1/masters/add-plasticCategory,,,False,Yes,0
DELETE,/api/v1/masters/remove-plasticCategory/{plasticCategoryId},,,False,,1
GET,/api/v1/masters/containerCapacity,,,False,,0
POST,/api/v1/masters/add-containerCapacity,,,False,Yes,0
DELETE,/api/v1/masters/remove-containerCapacity/{containerCapacityId},,,False,,1
GET,/api/v1/masters/spareType,,,False,,0
POST,/api/v1/masters/add-spareType,,,False,Yes,0
DELETE,/api/v1/masters/remove-spareType/{spareTypeId},,,False,,1
GET,/api/v1/masters/itemColour,,,False,,0
POST,/api/v1/masters/add-itemColour,,,False,Yes,0
DELETE,/api/v1/masters/remove-itemColour/{itemColourId},,,False,,1
GET,/api/v1/masters/itemMake,,,False,,0
POST,/api/v1/masters/add-itemMake,,,False,Yes,0
DELETE,/api/v1/masters/remove-itemMake/{itemMakeId},,,False,,1
GET,/api/v1/masters/measurementUnit,,,False,,0
POST,/api/v1/masters/add-measurementUnit,,,False,Yes,0
DELETE,/api/v1/masters/remove-measurementUnit/{measurementUnitId},,,False,,1
GET,/api/v1/masters/alternateUnit,,,False,,0
POST,/api/v1/masters/add-alternateUnit,,,False,Yes,0
DELETE,/api/v1/masters/remove-alternateUnit/{alternateUnitId},,,False,,1
GET,/api/v1/masters/store,,,False,,0
POST,/api/v1/masters/add-store,,,False,Yes,0
DELETE,/api/v1/masters/remove-store/{storeId},,,False,,1
GET,/api/v1/masters/itemCategory/{itemCategory},,,False,,1
GET,/api/v1/masters/rmGrade,,,False,,0
POST,/api/v1/masters/add-rmGrade,,,False,Yes,0
DELETE,/api/v1/masters/remove-rmGrade/{rmGradeId},,,False,,1
GET,/api/v1/masters/GetStoreNameByItem/{materialCode},,,False,,1
GET,/api/v1/masters/sfg,,,False,,0
GET,/api/v1/masters/machineDetails,,,False,,0
GET,/api/v1/masters/details/{equipmentName},,,False,,1
GET,/api/v1/masters/equipmentDetails/{machineName},,,False,,1
GET,/api/v1/masters/maintenancetype,,,False,,0
DELETE,/api/v1/masters/remove-externalFinised/{externalFinisedId},,,False,,1
GET,/api/v1/masters/stage,,,False,,0
POST,/api/v1/masters/add-stage,,,False,Yes,0
DELETE,/api/v1/masters/remove-stage/{stageScreenId},,,False,,1
POST,/api/v1/masters/add-userrolemodulemapping,,,False,Yes,0
POST,/api/v1/masters/add-updatrole,,,False,Yes,0
POST,/api/v1/masters/add-update-user,,,False,Yes,0
POST,/api/v1/masters/assets,,,False,Yes,0
POST,/api/v1/masters/add-or-update-assest,,,False,Yes,0
DELETE,/api/v1/masters/delete-assest/{assestId},,,False,,1
POST,/api/v1/masters/departments,,,False,Yes,0
GET,/api/v1/masters/maintenace-subtype/{code},,,False,,1
GET,/api/v1/masters/iotMachineData,,,False,,0
GET,/api/v1/masters/iotMachineDataGetById/{id},,,False,,1
GET,/api/v1/masters/iotmachine-fg-mapping/{machineType},,,False,,1
GET,/api/v1/masters/inventories,,,False,,3
GET,/api/v1/masters/horizons,,,False,,0
POST,/api/v1/masters/add-horizon,,,False,Yes,0
DELETE,/api/v1/masters/remove-horizon/{horizonId},,,False,,1
GET,/api/v1/masters/versions,,,False,,0
POST,/api/v1/masters/add-version,,,False,Yes,0
DELETE,/api/v1/masters/remove-version/{versionId},,,False,,1
GET,/api/v1/masters/storeManager,,,False,,3
GET,/api/v1/masters/customer,,,False,,0
POST,/api/v1/masters/add-customer,,,False,Yes,0
DELETE,/api/v1/masters/remove-customer/{customerId},,,False,,1
GET,/api/v1/masters/rawMaterial,,,False,,0
POST,/api/v1/masters/add-rawMaterial,,,False,Yes,0
DELETE,/api/v1/masters/remove-rawMaterial/{rawMaterialId},,,False,,1
GET,/api/v1/masters/salesPerson,,,False,,0
POST,/api/v1/masters/add-salesPerson,,,False,Yes,0
DELETE,/api/v1/masters/remove-salesPerson/{salesPersonId},,,False,,1
GET,/api/v1/masters/packagingType,,,False,,0
POST,/api/v1/masters/add-packagingType,,,False,Yes,0
DELETE,/api/v1/masters/remove-PackagingType/{packagingTypeId},,,False,,1
GET,/api/v1/masters/toleranceLevel,,,False,,0
POST,/api/v1/masters/add-toleranceLevel,,,False,Yes,0
DELETE,/api/v1/masters/remove-toleranceLevel/{toleranceLevelId},,,False,,1
GET,/api/v1/masters/shift,,,False,,0
POST,/api/v1/masters/add-shift,,,False,Yes,0
DELETE,/api/v1/masters/remove-shift/{shiftlId},,,False,,2
GET,/api/v1/masters/finishedGood,,,False,,0
POST,/api/v1/masters/add-finishedGood,,,False,Yes,0
DELETE,/api/v1/masters/remove-finishedGood/{fgId},,,False,,1
GET,/api/v1/masters/machine,,,False,,0
POST,/api/v1/masters/add-machine,,,False,Yes,0
DELETE,/api/v1/masters/remove-machine/{machineId},,,False,,1
GET,/api/v1/masters/semiFinishedGood,,,False,,0
POST,/api/v1/masters/add-semiFinishedGood,,,False,Yes,0
DELETE,/api/v1/masters/remove-semiFinishedGood/{sfgId},,,False,,1
GET,/api/v1/masters/cavity,,,False,,0
POST,/api/v1/masters/add-cavity,,,False,Yes,0
DELETE,/api/v1/masters/remove-cavity/{cavityId},,,False,,1
GET,/api/v1/masters/materialWithSample,,,False,,0
GET,/api/v1/masters/customer-saleperson/{salesPersonId},,,False,,1
GET,/api/v1/masters/salesperson-details/{salesPersonId},,,False,,1
GET,/api/v1/masters/materials,,,False,,0
POST,/api/v1/masters/materials-list,,,False,Yes,0
POST,/api/v1/masters/add-materials,,,False,Yes,0
GET,/api/v1/masters/material-details/{materialName},,,False,,1
DELETE,/api/v1/masters/remove-materials/{referenceNo},,,False,,1
GET,/api/v1/masters/itemGroup,,,False,,0
POST,/api/v1/masters/add-itemGroup,,,False,Yes,0
DELETE,/api/v1/masters/remove-itemGroup/{itemGroupId},,,False,,1
GET,/api/v1/masters/itemCategory,,,False,,0
POST,/api/v1/masters/add-itemCategory,,,False,Yes,0
DELETE,/api/v1/masters/remove-itemCategory/{itemCategoryId},,,False,,1
GET,/api/v1/masters/neckType,,,False,,0
POST,/api/v1/masters/add-neckType,,,False,Yes,0
DELETE,/api/v1/masters/remove-neckType/{neckTypeId},,,False,,1
GET,/api/v1/masters/assetType,,,False,,0
POST,/api/v1/masters/add-assetType,,,False,Yes,0
DELETE,/api/v1/masters/remove-assestType/{assetTypeId},,,False,,1
GET,/api/v1/masters/serviceType,,,False,,0
POST,/api/v1/masters/add-serviceType,,,False,Yes,0
DELETE,/api/v1/masters/remove-serviceType/{serviceTypeId},,,False,,1
GET,/api/v1/masters/itemType,,,False,,0
POST,/api/v1/masters/add-itemType,,,False,Yes,0
DELETE,/api/v1/masters/remove-itemType/{itemTypeId},,,False,,1
GET,/api/v1/masters/hsnCode,,,False,,0
POST,/api/v1/masters/add-hsnCode,,,False,Yes,0
DELETE,/api/v1/masters/remove-hsnCode/{hsnCodeId},,,False,,1
GET,/api/v1/masters,,,False,,0
GET,/api/v1/masters/user-list,,,False,,0
GET,/api/v1/masters/locations,,,False,,0
GET,/api/v1/masters/vendors,,,False,,0
GET,/api/v1/masters/warehouse,,,False,,0
GET,/api/v1/masters/states,,,False,,0
GET,/api/v1/masters/company,,,False,,0
GET,/api/v1/masters/modules,,,False,,0
GET,/api/v1/masters/modules-company,,,False,,0
GET,/api/v1/masters/cities,,,False,,0
GET,/api/v1/masters/materialcategories,,,False,,0
GET,/api/v1/masters/material-states,,,False,,0
GET,/api/v1/masters/material-types,,,False,,0
GET,/api/v1/masters/yard-locations,,,False,,0
GET,/api/v1/masters/yard-location,,,False,,0
GET,/api/v1/masters/yards,,,False,,0
GET,/api/v1/masters/plants,,,False,,0
GET,/api/v1/masters/groups,,,False,,0
POST,/api/v1/masters/add-material-categories,,,False,Yes,0
POST,/api/v1/masters/add-material-types,,,False,Yes,0
POST,/api/v1/masters/add-material-states,,,False,Yes,0
POST,/api/v1/masters/add-vendors,,,False,Yes,0
POST,/api/v1/masters/add-warehouses,,,False,Yes,0
POST,/api/v1/masters/add-location,,,False,Yes,0
POST,/api/v1/masters/add-company,,,False,Yes,0
POST,/api/v1/masters/add-cities,,,False,Yes,0
POST,/api/v1/masters/add-countries,,,False,Yes,0
POST,/api/v1/masters/add-states,,,False,Yes,0
DELETE,/api/v1/masters/remove-company/{companyId},,,False,,1
DELETE,/api/v1/masters/remove-city/{cityId},,,False,,1
DELETE,/api/v1/masters/remove-country/{countryId},,,False,,1
DELETE,/api/v1/masters/remove-vendors/{vendorId},,,False,,1
DELETE,/api/v1/masters/remove-warehouse/{warehouseId},,,False,,1
DELETE,/api/v1/masters/remove-state/{stateId},,,False,,1
DELETE,/api/v1/masters/remove-location/{locationId},,,False,,1
GET,/api/v1/masters/contractingagency,,,False,,0
GET,/api/v1/masters/driver,,,False,,0
GET,/api/v1/masters/driverdetails/{driverId},,,False,,1
POST,/api/v1/masters/add-drivers,,,False,Yes,0
DELETE,/api/v1/masters/remove-drivers/{driverId},,,False,,1
POST,/api/v1/masters/add-yarlocations,,,False,Yes,0
POST,/api/v1/masters/add-yard,,,False,Yes,0
POST,/api/v1/masters/add-plant,,,False,Yes,0
DELETE,/api/v1/masters/remove-materialstates/{id},,,False,,1
DELETE,/api/v1/masters/remove-materialtypes/{id},,,False,,1
DELETE,/api/v1/masters/remove-materialcategories/{id},,,False,,1
DELETE,/api/v1/masters/remove-contractingagency/{agencyId},,,False,,1
POST,/api/v1/masters/add-contractingagency,,,False,Yes,0
GET,/api/v1/masters/vehicletype,,,False,,0
POST,/api/v1/masters/add-vehicletype,,,False,Yes,0
DELETE,/api/v1/masters/remove-vehicletype/{vehicleId},,,False,,1
GET,/api/v1/masters/gates,,,False,,0
POST,/api/v1/masters/add-gates,,,False,Yes,0
GET,/api/v1/masters/location-gates/{locationId},,,False,,1
GET,/api/v1/masters/licensetypes,,,False,,0
POST,/api/v1/masters/add-licensetypes,,,False,Yes,0
DELETE,/api/v1/masters/remove-licensetypes/{id},,,False,,1
GET,/api/v1/masters/drivertypes,,,False,,0
POST,/api/v1/masters/add-drivertypes,,,False,Yes,0
DELETE,/api/v1/masters/remove-drivertypes/{id},,,False,,1
POST,/api/v1/masters/blockdriver,,,False,Yes,0
DELETE,/api/v1/masters/remove-yards/{id},,,False,,1
DELETE,/api/v1/masters/remove-plants/{id},,,False,,1
GET,/api/v1/masters/bin,,,False,,0
POST,/api/v1/masters/add-bin,,,False,Yes,0
DELETE,/api/v1/masters/remove-bin/{binId},,,False,,1
GET,/api/v1/masters/process,,,False,,0
POST,/api/v1/masters/add-process,,,False,Yes,0
DELETE,/api/v1/masters/remove-process/{processId},,,False,,1
GET,/api/v1/masters/forgingBatch,,,False,,0
POST,/api/v1/masters/add-forgingBatch,,,False,Yes,0
DELETE,/api/v1/masters/remove-forgingBatch/{forgingBatchId},,,False,,1
GET,/api/v1/masters/partCode,,,False,,0
POST,/api/v1/masters/add-partCode,,,False,Yes,0
DELETE,/api/v1/masters/remove-partCode/{partCodeId},,,False,,1
GET,/api/v1/masters/internalFinised,,,False,,0
POST,/api/v1/masters/add-internalFinised,,,False,Yes,0
DELETE,/api/v1/masters/remove-internalFinised/{internalFinisedId},,,False,,1
GET,/api/v1/masters/externalFinised,,,False,,0
POST,/api/v1/masters/add-externalFinised,,,False,Yes,0
POST,/api/v1/masters/add-or-update-equipment,,,False,Yes,0
DELETE,/api/v1/masters/delete-equipment/{equipmentId},,,False,,1
GET,/api/v1/masters/get-equipment/{equipmentId},,,False,,1
GET,/api/v1/masters/get-all-equipment,,,False,,0
GET,/api/v1/material,,,False,,0
POST,/api/v1/material/add-material,,,False,Yes,0
PUT,/api/v1/material/update-material/{id},,,False,Yes,1
GET,/api/v1/material/get-all-material,,,False,,0
GET,/api/v1/material/get-plant-user/{requestId},,,False,,1
POST,/api/v1/material/material-list,,,False,Yes,0
GET,/api/v1/material/get-material-by-id/{id},,,False,,1
GET,/api/v1/material/material-files/{id},,,False,,1
GET,/api/v1/material/get-consumption/{id},,,False,,1
GET,/api/v1/material/material-by-requestId/{requestId},,,False,,1
POST,/api/v1/material/material-warehouse,,,False,Yes,0
POST,/api/v1/material/material-shopfloor,,,False,Yes,0
GET,/api/v1/material/material-qrcode/{requestId},,,False,,1
GET,/api/v1/material/material-fifo/{requestId},,,False,,1
PUT,/api/v1/material/update-m/{id},,,False,,1
GET,/api/v1/material/qrcode/{requestId},,,False,,1
GET,/api/v1/material/all-steps,,,False,,0
POST,/api/v1/material/create-workflow/{requestId},,,False,,1
GET,/api/v1/material/all-steps/{requestId},,,False,,1
GET,/api/v1/material/all-actions/{requestId},,,False,,1
GET,/api/v1/material/action-history/{requestId},,,False,,1
POST,/api/v1/material/action,,,False,Yes,0
GET,/api/v1/material/material-dashboard-count,,,False,,0
GET,/api/v1/wiptracking,,,False,,0
POST,/api/v1/wiptracking/add-workrequest,,,False,Yes,0
GET,/api/v1/wiptracking/workrequests,,,False,,3
GET,/api/v1/wiptracking/workrequest-byid/{requestId},,,False,,1
GET,/api/v1/wiptracking/workorder-byid/{requestId},,,False,,1
POST,/api/v1/wiptracking/create-workorder,,,False,Yes,0
POST,/api/v1/wiptracking/action,,,False,Yes,0
POST,/api/v1/wiptracking/add-saveWorkSteps,,,False,Yes,0
GET,/api/v1/wiptracking/{masterType},,,False,,1
POST,/api/v1/mps/save,,,False,Yes,0
POST,/api/v1/mps/save-header,,,False,Yes,0
GET,/api/v1/mps/plant/{plantId},,,False,,1
POST,/api/v1/mps/simulate/{mpsId},,,False,,3
POST,/api/v1/mps/approve/{mpsHeaderId},,,False,,2
POST,/api/v1/mps/release/{mpsHeaderId},,,False,,1
GET,/api/v1/iot/node-red/flows,,,False,,0
GET,/api/v1/iot/node-red/flows/{flowId}/nodes,,,False,,1
POST,/api/v1/iot/node-red/flows/{nodeId}/trigger,,,False,,1
GET,/api/v1/iot/setup/webhook-status,,,False,,0
GET,/api/v1/production/order/getOrder/{workOrderId},,,False,,1
POST,/api/v1/production/order/{workOrderId}/comment,,,False,Yes,1
POST,/api/v1/production/order/{workOrderId}/resolve-exception,,,False,Yes,1
GET,/api/v1/production/order/{workOrderId}/alternatives/{resourceType},,,False,,2
POST,/api/v1/production/order/{workOrderId}/reassign,,,False,Yes,1
GET,/api/v1/planning/overview,,,False,,3
GET,/api/v1/planning/kpis,,,False,,2
GET,/api/v1/planning/bom/{productCode},,,False,,1
GET,/api/v1/planning/mpsOverviewDetails/{productCode},,,False,,1
GET,/api/v1/planning/exceptions/{mpsId},,,False,,1
GET,/api/v1/production/dashboard/getDashboard,,,False,,12
POST,/api/v1/production/dashboard/orders,,,False,Yes,0
PUT,/api/v1/production/dashboard/order/{workOrderId},,,False,Yes,1
POST,/api/v1/production/dashboard/order/{workOrderId}/release,,,False,Yes,1
POST,/api/v1/production/dashboard/order/{workOrderId}/cancel,,,False,Yes,1
POST,/api/v1/production/dashboard/orders/bulk-action,,,False,Yes,0
POST,/api/v1/productionplanning/workorder,,,False,Yes,0
GET,/api/v1/productionplanning/getWorkorder,,,False,,0
DELETE,/api/v1/productionplanning/workorder/{workOrderId},,,False,,1
POST,/api/v1/productionplanning/mrp/run/{monthYear}/{weekNumber},,,False,,2
GET,/api/v1/pplookups,,,False,,0
GET,/api/v1/pplookups/product,,,False,,0
POST,/api/v1/pplookups/add-product,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-product/{id},,,False,,1
GET,/api/v1/pplookups/bom-master,,,False,,0
POST,/api/v1/pplookups/add-bom-master,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-bom-master/{id},,,False,,1
GET,/api/v1/pplookups/bom-line,,,False,,0
GET,/api/v1/pplookups/bom-line/{bomId},,,False,,1
POST,/api/v1/pplookups/add-bom-line,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-bom-line/{id},,,False,,1
GET,/api/v1/pplookups/routing,,,False,,0
POST,/api/v1/pplookups/add-routing,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-routing/{id},,,False,,1
GET,/api/v1/pplookups/priority,,,False,,0
POST,/api/v1/pplookups/add-priority,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-priority/{id},,,False,,1
POST,/api/v1/pplookups/add-mps,,,False,Yes,0
GET,/api/v1/pplookups/get-mps/{productName},,,False,,1
DELETE,/api/v1/pplookups/remove-mps/{mpsId},,,False,,1
GET,/api/v1/pplookups/get-mps/id/{MpsId},,,False,,1
GET,/api/v1/pplookups/get-mpsmaster,,,False,,0
GET,/api/v1/pplookups/capacity-analysis/{plantId}/{productCode}/{horizonWeeks},,,False,,3
POST,/api/v1/pplookups/add-machine,,,False,Yes,0
GET,/api/v1/pplookups/get-machine-details,,,False,,0
GET,/api/v1/pplookups/get-machine,,,False,,0
DELETE,/api/v1/pplookups/remove-machine/{id},,,False,,1
GET,/api/v1/pplookups/shifts/screen,,,False,,2
GET,/api/v1/pplookups/shifts,,,False,,0
POST,/api/v1/pplookups/add-shift,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-shift/{shiftId},,,False,,1
GET,/api/v1/pplookups/shifts/calendar,,,False,,2
POST,/api/v1/pplookups/add-calendar-day,,,False,Yes,0
POST,/api/v1/pplookups/bulk-calendar,,,False,Yes,0
GET,/api/v1/pplookups/maintenance,,,False,,2
POST,/api/v1/pplookups/add-maintenance,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-maintenance/{maintenanceId},,,False,,1
GET,/api/v1/pplookups/screen,,,False,,3
GET,/api/v1/pplookups/bars,,,False,,4
POST,/api/v1/pplookups/add-bar,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-bar/{ganttScheduleId},,,False,,1
POST,/api/v1/pplookups/reschedule,,,False,Yes,0
GET,/api/v1/pplookups/{id}/detail,,,False,,1
GET,/api/v1/pplookups/getAllRouting,,,False,,0
POST,/api/v1/pplookups/add-template,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-template/{id},,,False,,1
POST,/api/v1/pplookups/add-step,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-step/{id},,,False,,1
POST,/api/v1/pplookups/{workOrderId}/complete-step,,,False,,1
POST,/api/v1/pplookups/reorder-steps,,,False,Yes,0
GET,/api/v1/pplookups/operators,,,False,,2
POST,/api/v1/pplookups/add-operator,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-operator/{operatorId},,,False,,1
GET,/api/v1/pplookups/tooling,,,False,,2
POST,/api/v1/pplookups/add-tool,,,False,Yes,0
DELETE,/api/v1/pplookups/remove-tool/{toolId},,,False,,1
GET,/api/v1/pplookups/resource-screen,,,False,,0
GET,/api/v1/pplookups/resource-kpis,,,False,,0
GET,/api/v1/pplookups/alertScreen,,,False,,0
POST,/api/v1/pplookups/refresh,,,False,,0
POST,/api/v1/pplookups/resolve,,,False,Yes,0
POST,/api/v1/pplookups/acknowledge-all,,,False,Yes,0
POST,/api/v1/pplookups/mps/rawmaterial/save,,,False,Yes,0
GET,/api/v1/pplookups/mps/rawmaterial/{mpsId},,,False,,1
GET,/api/v1/reports,,,False,,0
GET,/api/v1/reports/vehicle-count/{fromMonthYear}/{toMonthYear},,,False,,2
GET,/api/v1/reports/monthly-count/{fromMonthYear}/{toMonthYear},,,False,,2
GET,/api/v1/reports/overstay/{fromMonthYear}/{toMonthYear},,,False,,2
GET,/api/v1/forecastmaster,,,False,,0
GET,/api/v1/saleforecasting,,,False,,0
GET,/api/v1/saleforecasting/forecastHeader,,,False,,0
GET,/api/v1/saleforecasting/validate-forecastdate,,,False,,0
GET,/api/v1/saleforecasting/forecasts,,,False,,0
POST,/api/v1/saleforecasting/save-forecast,,,False,Yes,0
GET,/api/v1/saleforecasting/forecasts-by-request/{requestId},,,False,,1
GET,/api/v1/saleforecasting/forecasts-count/{materialCode},,,False,,1
GET,/api/v1/saleforecasting/all-steps/{requestId},,,False,,1
GET,/api/v1/saleforecasting/all-actions/{requestId},,,False,,1
GET,/api/v1/saleforecasting/action-history/{requestId},,,False,,1
POST,/api/v1/saleforecasting/action,,,False,Yes,0
GET,/api/v1/saleforecasting/neckTypeReport,,,False,,0
GET,/api/v1/saleforecasting/forcastneckType,,,False,,0
GET,/api/v1/saleforecasting/forecasts-by-monthYear/{monthYear},,,False,,1
GET,/api/v1/saleforecasting/forecasts-by-customersales/{neckType},,,False,,1
